Country (or territory),Subregion,Region,IMF[1],IMF[1],World Bank[5],World Bank[5],CIA[6],CIA[6]
Country (or territory),Subregion,Region,Estimate,Year,Estimate,Year,Estimate,Year
Slovakia *,Eastern Europe,Europe,190277.0,2021.0,173768.0,2020.0,178513,2019
Sudan *,Northern Africa,Africa,185742.0,2021.0,186087.0,2020.0,168280,2019
Ghana *,Western Africa,Africa,186682.0,2021.0,173894.0,2020.0,164640,2019
Bulgaria *,Eastern Europe,Europe,174998.0,2021.0,168799.0,2020.0,161654,2019
Montserrat *,Caribbean,Americas,,,,,167400,2011[obsolete source]
Tanzania *,Eastern Africa,Africa,171006.0,2021.0,161177.0,2020.0,149785,2019
Guatemala *,Central America,Americas,158570.0,2021.0,149267.0,2020.0,143416,2019
Ivory Coast *,Western Africa,Africa,156038.0,2021.0,143979.0,2020.0,134048,2019
Venezuela *,South America,Americas,144737.0,2021.0,506339.0,2011.0,269068,2018
Oman *,Western Asia,Asia,138998.0,2021.0,141533.0,2019.0,135814,2019
Cuba *,Caribbean,Americas,,,,,137000,2017
Panama *,Central America,Americas,131807.0,2021.0,115531.0,2020.0,133587,2019
Croatia *,Southern Europe,Europe,142285.0,2021.0,115361.0,2020.0,126625,2019
Tunisia *,Northern Africa,Africa,127325.0,2021.0,121279.0,2020.0,125783,2019
Serbia *,Southern Europe,Europe,119532.0,2021.0,132850.0,2020.0,116339,2019
Puerto Rico *,Caribbean,Americas,112273.0,2021.0,112683.0,2020.0,110238,2019
Lithuania *,Northern Europe,Europe,114035.0,2021.0,108252.0,2020.0,103756,2019
Nepal *,Southern Asia,Asia,122629.0,2021.0,116802.0,2020.0,97749,2019
Jordan *,Western Asia,Asia,109296.0,2021.0,105660.0,2020.0,101738,2019
Costa Rica *,Central America,Americas,107095.0,2021.0,107138.0,2020.0,99146,2019
Uganda *,Eastern Africa,Africa,114896.0,2021.0,105075.0,2020.0,96838,2019
Bolivia *,South America,Americas,105063.0,2021.0,97672.0,2020.0,100445,2019
Libya *,Northern Africa,Africa,92083.0,2021.0,74532.0,2020.0,102842,2019
Cameroon *,Middle Africa,Africa,101950.0,2021.0,100151.0,2020.0,94248,2019
